,avg,each,fold,nModels,ntree,tc
81,0.643870965590005,0.6600661259041047,0,9,550,4
82,0.6424664519407595,0.6587277618948254,0,9,600,4
83,0.6414990737262646,0.6574439247583957,0,9,650,4
84,0.6412581223161301,0.6575144758220863,0,9,700,4
85,0.641094045629303,0.6577265014671478,0,9,750,4
86,0.641113228645367,0.6575013258234275,0,9,800,4
87,0.6414069519177392,0.6583014725400547,0,9,850,4
88,0.6422314238194319,0.6590210954255398,0,9,900,4
89,0.6432129213862202,0.6598741920515683,0,9,950,4
90,0.6460437000967226,0.6630637037698829,0,10,500,4
91,0.6436045283752158,0.6605753724146577,0,10,550,4
92,0.6421771433918276,0.6592811806205715,0,10,600,4
93,0.6411838994114781,0.6581650010165805,0,10,650,4
94,0.6409157341667855,0.658052622303147,0,10,700,4
95,0.6407534442466759,0.6583345399922638,0,10,750,4
96,0.6407748307947433,0.6587942466305727,0,10,800,4
97,0.6411030779637998,0.6595259720994063,0,10,850,4
98,0.6419221469875649,0.660291994496385,0,10,900,4
99,0.642924917376733,0.6616663039890052,0,10,950,4
100,0.6703878581628508,0.6703878498909065,0,1,300,5
101,0.6652102602752779,0.665210253329224,0,1,350,5
102,0.6616163494113603,0.6616163429793954,0,1,400,5
103,0.6595949083658894,0.6595949011494242,0,1,450,5
104,0.6577684863605113,0.6577684784837583,0,1,500,5
105,0.6580233932618402,0.6580233851099935,0,1,550,5
106,0.6590681291432327,0.6590681214906323,0,1,600,5
107,0.6598841451526203,0.6598841372981369,0,1,650,5
108,0.6605671725677791,0.6605671634274087,0,1,700,5
109,0.6606058876367243,0.672338166448707,0,2,300,5
110,0.6551706037695556,0.6670161211728393,0,2,350,5
111,0.6518107347223235,0.6642206482750571,0,2,400,5
112,0.6498625120034669,0.6624282770129589,0,2,450,5
113,0.6484481469065577,0.6618442869715424,0,2,500,5
114,0.6482802781565454,0.6615945379118277,0,2,550,5
115,0.6485962023289286,0.6618291059803648,0,2,600,5
116,0.6487469580187559,0.6616950251967576,0,2,650,5
117,0.6497394185439478,0.6630203715653256,0,2,700,5
118,0.6577282761523954,0.6738112959926014,0,3,300,5
119,0.6523703419422696,0.6688642764510052,0,3,350,5
120,0.64872376338717,0.6649059933265185,0,3,400,5
121,0.6466684575450526,0.6631985780844788,0,3,450,5
122,0.6451581475368393,0.6617343559943168,0,3,500,5
123,0.6447517718927562,0.6613943548888648,0,3,550,5
124,0.6449895373737242,0.6619215769200433,0,3,600,5
125,0.6454257880948261,0.6630755656344024,0,3,650,5
126,0.646483677178612,0.6646652395438207,0,3,700,5
127,0.6555152427466542,0.6702857965618075,0,4,300,5
128,0.6501299168134109,0.6646916982946456,0,4,350,5
129,0.6465298681524718,0.6615061946965826,0,4,400,5
130,0.6443081809118097,0.6592729679116306,0,4,450,5
131,0.64296769168074,0.6588096423001533,0,4,500,5
132,0.6426208442930863,0.6589009357635749,0,4,550,5
133,0.6428613896934331,0.6597129676363527,0,4,600,5
134,0.6433580917449887,0.6606740922131341,0,4,650,5
135,0.6445750735219956,0.6627331627687029,0,4,700,5
136,0.6547110477180957,0.6738074892786844,0,5,300,5
137,0.6492580162489905,0.6682776550830696,0,5,350,5
138,0.6455796458443392,0.664725455495776,0,5,400,5
139,0.6433871620666262,0.6631119464121916,0,5,450,5
140,0.6421608862873384,0.6625975715009557,0,5,500,5
141,0.641734406875239,0.662297945574738,0,5,550,5
142,0.6419583402964884,0.6628384026437981,0,5,600,5
143,0.6425315022003228,0.6640535542951436,0,5,650,5
144,0.6436745254222735,0.6653128779989214,0,5,700,5
145,0.654295628962834,0.6733797105505684,0,6,300,5
146,0.6489304382761796,0.66899101246554,0,6,350,5
147,0.6452187362555296,0.6653145668773391,0,6,400,5
148,0.642877646109887,0.6629092472559714,0,6,450,5
149,0.6417402621896608,0.6625346724429741,0,6,500,5
150,0.6413712904223353,0.6628337273540591,0,6,550,5
151,0.6415666546299609,0.6633184108181732,0,6,600,5
152,0.6420585276890366,0.6638893174490808,0,6,650,5
153,0.6432332370890725,0.6656826089260374,0,6,700,5
154,0.6541125687182522,0.6756211106551133,0,7,300,5
155,0.6487428996899551,0.6702041686304181,0,7,350,5
156,0.6450855064595988,0.6667651627139926,0,7,400,5
157,0.6427715204264712,0.6648368106829871,0,7,450,5
158,0.6415381042448166,0.6636473800140439,0,7,500,5
159,0.6410965584098779,0.6629949297350737,0,7,550,5
160,0.6413147616646234,0.663647483304174,0,7,600,5
161,0.641744922529823,0.6639988385220368,0,7,650,5
162,0.6428696835780405,0.6651833253261378,0,7,700,5
163,0.65354553718016,0.670682498445128,0,8,300,5
164,0.6481092664583102,0.6652079583849023,0,8,350,5
165,0.6444058369539483,0.6613860549352861,0,8,400,5
166,0.6420156194145993,0.6589167372984313,0,8,450,5
167,0.6407453953807505,0.6577394856459629,0,8,500,5
168,0.640330014317955,0.6579654366108005,0,8,550,5
169,0.6405223349324994,0.6585705857643657,0,8,600,5
170,0.6410087391657511,0.6594740116982355,0,8,650,5
171,0.6421773873617831,0.6610196818487851,0,8,700,5
172,0.6532894339880857,0.6723605983358673,0,9,300,5
173,0.6476649030153314,0.6654343003267715,0,9,350,5
174,0.6440152082313175,0.6626325153855653,0,9,400,5
175,0.6416277674837172,0.660505230833426,0,9,450,5
176,0.6402865657610342,0.6591680218416257,0,9,500,5
177,0.6398948778321718,0.6590978711566453,0,9,550,5
178,0.6400266895994049,0.6596527280836102,0,9,600,5
179,0.6404616546110081,0.6598386984790959,0,9,650,5
180,0.6416569887780638,0.6616234663167553,0,9,700,5
181,0.6531642451112541,0.6727118631141652,0,10,300,5
182,0.647562058793949,0.667751756983345,0,10,350,5
183,0.6438431714902679,0.6636136204738177,0,10,400,5
184,0.6414132847562793,0.6610825356309042,0,10,450,5
185,0.6400835481713613,0.6604520996145722,0,10,500,5
