,avg,each,epochs,fold,h1,h2,nModels
46,0.7985140619996856,0.7985140565381641,50,0,70,90,1
47,0.7700942365237864,0.7700942301318415,60,0,70,90,1
48,0.7432807854514362,0.7432807795812736,70,0,70,90,1
49,0.725705218693406,0.7257052116976062,80,0,70,90,1
50,0.7099467353903092,0.7099467283969157,90,0,70,90,1
51,0.6958425541197554,0.6958425478215724,100,0,70,90,1
52,0.6901829088781526,0.6901829034028141,110,0,70,90,1
53,0.6826660550141674,0.6826660501338716,120,0,70,90,1
54,0.6779769464316031,0.6779769406566093,130,0,70,90,1
55,0.6745333023194118,0.6745332958597098,140,0,70,90,1
56,0.6725192309022003,0.6725192243036069,150,0,70,90,1
57,0.6801748934030823,0.6801748856015291,160,0,70,90,1
58,0.6843434969363851,0.6843434891708199,170,0,70,90,1
59,0.6897309862364667,0.6897309791438909,180,0,70,90,1
60,0.6865658950262042,0.6865658871552419,190,0,70,90,1
61,0.6851616005818776,0.6851615925517806,200,0,70,90,1
62,0.6956431212468646,0.6956431132671469,210,0,70,90,1
63,0.7032265651126847,0.703226557849405,220,0,70,90,1
64,0.7126898536310441,0.712689845127013,230,0,70,90,1
65,0.7141776380441548,0.7141776267358585,240,0,70,90,1
66,0.7134621258269792,0.7134621152404466,250,0,70,90,1
67,0.7234615753232098,0.723461563541797,260,0,70,90,1
68,0.7582781698143147,0.7582781588256237,270,0,70,90,1
69,0.7350569931169824,0.7350569815178088,280,0,70,90,1
70,0.752808273870071,0.752808261807812,290,0,70,90,1
71,0.7630846867134603,0.7630846745141089,300,0,70,90,1
72,0.7608320546297316,0.7608320413176459,310,0,70,90,1
73,0.7648700692097448,0.7648700556322353,320,0,70,90,1
74,0.782386874357829,0.7823868614665511,330,0,70,90,1
75,0.8165755902157683,0.8165755745284449,340,0,70,90,1
76,0.7926017169907368,0.7926017012751083,350,0,70,90,1
77,0.7975689043814242,0.7975688889938758,360,0,70,90,1
78,0.8102609932980795,0.8102609774725893,370,0,70,90,1
79,0.8280144690960843,0.8280144537933858,380,0,70,90,1
80,0.82806626143643,0.8280662457983474,390,0,70,90,1
81,0.8398769177685131,0.8398769005004387,400,0,70,90,1
82,0.8562355810119001,0.8562355649405418,410,0,70,90,1
83,0.8496453689318836,0.849645351220572,420,0,70,90,1
84,1.1628294062890903,1.1681855497879314,10,0,60,100,2
85,0.9629747471643071,0.9713761664802096,20,0,60,100,2
86,0.8810373783805479,0.8932642287483312,30,0,60,100,2
87,0.8269254556925054,0.8406509417036915,40,0,60,100,2
88,0.7869996900109195,0.7988246551671965,50,0,60,100,2
89,0.7553773278279231,0.7725898488778378,60,0,60,100,2
90,0.7327792306686375,0.7487546502275675,70,0,60,100,2
91,0.7107655571718907,0.7254781020511962,80,0,60,100,2
92,0.692806910813692,0.7111842015473947,90,0,60,100,2
93,0.6808335456218585,0.7015199985581945,100,0,60,100,2
94,0.6689302905546557,0.6886158184958674,110,0,60,100,2
95,0.6615537614414537,0.6830092985969632,120,0,60,100,2
96,0.6534214414521222,0.6796115006933595,130,0,60,100,2
97,0.650627691722567,0.6781150543143176,140,0,60,100,2
98,0.646090330389286,0.6734549566608861,150,0,60,100,2
99,0.6449390402596056,0.6723595934588545,160,0,60,100,2
100,0.6448773817952699,0.6759076150793089,170,0,60,100,2
101,0.6400519977576191,0.6787829088893572,180,0,60,100,2
102,0.6475669718707774,0.6994602262916714,190,0,60,100,2
103,0.6454230746312044,0.6852838516522787,200,0,60,100,2
104,0.6452021195803439,0.6951060825783948,210,0,60,100,2
105,0.6459488904001572,0.6983710102803793,220,0,60,100,2
106,0.6497171644337366,0.7092694130871092,230,0,60,100,2
107,0.6537015002735689,0.7084176036290655,240,0,60,100,2
108,0.6584452528581064,0.7164233395752393,250,0,60,100,2
109,0.6606683958855252,0.7145348062388737,260,0,60,100,2
110,0.667131492630542,0.7288722378347398,270,0,60,100,2
111,0.6675827038362135,0.7313261415656568,280,0,60,100,2
112,0.6758523157820835,0.7404736655522659,290,0,60,100,2
113,0.6789202950848214,0.749697800777511,300,0,60,100,2
114,0.6802243202233317,0.7655275152810775,310,0,60,100,2
115,0.6958791497521344,0.7909094747257315,320,0,60,100,2
116,0.6927306851762697,0.7878630284406841,330,0,60,100,2
117,0.7003591564855219,0.7946954870904902,340,0,60,100,2
118,0.7033499407062772,0.7929038964014897,350,0,60,100,2
119,0.7047044521558197,0.7917821272926777,360,0,60,100,2
120,0.7097938883588243,0.8246700083036909,370,0,60,100,2
121,0.7241577435601222,0.8173466839374951,380,0,60,100,2
122,0.7195192323674393,0.8106257225810619,390,0,60,100,2
123,0.721088896780477,0.8196451059010809,400,0,60,100,2
124,0.7315315445447635,0.8317328614578953,410,0,60,100,2
125,0.7387007648314436,0.848410496213819,420,0,60,100,2
126,1.1479626480651723,1.164768288480986,10,0,70,90,2
127,0.9549061188716101,0.9665459516656131,20,0,70,90,2
128,0.8743925083433765,0.8891472060513107,30,0,70,90,2
129,0.8242411116066557,0.8360582956705366,40,0,70,90,2
130,0.7876104378138431,0.8035158905959056,50,0,70,90,2
131,0.7567923162965569,0.7709823377032173,60,0,70,90,2
132,0.7315556526797026,0.7502886873299253,70,0,70,90,2
133,0.710314424549971,0.7272078766958017,80,0,70,90,2
134,0.6938702038228267,0.7133328424192037,90,0,70,90,2
135,0.680218049387933,0.7006029536255434,100,0,70,90,2
136,0.6701417253479001,0.6968513324682819,110,0,70,90,2
137,0.6616763768113174,0.6862407852108481,120,0,70,90,2
138,0.6547213788574462,0.6807535497162465,130,0,70,90,2
139,0.652453798214691,0.6825346888607741,140,0,70,90,2
140,0.648915244088117,0.682263029289837,150,0,70,90,2
141,0.6510388069731189,0.6885866516566518,160,0,70,90,2
142,0.6508224856748348,0.6832632276975523,170,0,70,90,2
143,0.6532163599225989,0.6906662127482858,180,0,70,90,2
144,0.6490692581733154,0.689486879561889,190,0,70,90,2
145,0.6486092075950196,0.7055071494136206,200,0,70,90,2
146,0.6519428216185433,0.6966169238921615,210,0,70,90,2
147,0.6582112766776869,0.7084763224614893,220,0,70,90,2
148,0.6553769647296837,0.7143173863944394,230,0,70,90,2
149,0.6614619252113396,0.7195338846744183,240,0,70,90,2
150,0.6626155739182553,0.7197181208881201,250,0,70,90,2
151,0.6678098175547462,0.7295679603204424,260,0,70,90,2
152,0.6802915404606831,0.7315255572638544,270,0,70,90,2
153,0.6758006155035613,0.7471460610708043,280,0,70,90,2
154,0.6813332577430081,0.7493737149970928,290,0,70,90,2
155,0.6871311251445285,0.7602045329117559,300,0,70,90,2
156,0.6902363565435949,0.772250913708161,310,0,70,90,2
157,0.6963361028098961,0.7796664431057277,320,0,70,90,2
158,0.7022520424097799,0.7819364807690086,330,0,70,90,2
159,0.7114249498776289,0.7925250301217179,340,0,70,90,2
160,0.7082493338650445,0.8044417431010661,350,0,70,90,2
161,0.7158216761613844,0.8190497258881052,360,0,70,90,2
162,0.7233503647691781,0.8287970681939991,370,0,70,90,2
163,0.7266834346240195,0.8348928020353366,380,0,70,90,2
